bus,total_rides
993443,1734731
1005681,1734662
1040468,1734627
1068998,1734603
1083589,1734493
1028193,1734467
930582,1734328
1065350,1734276
1070609,1734255
1102282,1734208
1003351,1734181
1079848,1734099
1057585,1734015
982452,1733881
936028,1733879
948098,1733599
1016361,1733531
981727,1733406
1043518,1733307
955083,1733254
963691,1733167
1106907,1732877
1006182,1732800
889307,1732795
1074197,1732782
1082105,1732770
1005818,1732750
1080548,1732747
1001200,1732704
989282,1732632
938052,1732599
997461,1732545
940038,1732436
1051738,1732411
1041255,1732015
1000335,1731844
994547,1731734
959134,1731726
1012629,1731725
1075419,1731600
1015965,1731550
928925,1731487
915987,1731296
1022640,1731236
999090,1731178
1042401,1731107
1074738,1731083
941909,1730927
1046582,1730925
1064437,1730782
1065889,1730706
1061332,1730216
1070339,1730163
1073688,1729974
911783,1729968
1064946,1729922
1014424,1729854
914687,1729658
999714,1729615
1090042,1729436
1014951,1729287
924594,1728769
1086922,1728760
982565,1728599
934648,1728292
1039524,1728265
934550,1728101
999361,1728093
1072954,1727956
1079400,1727955
958096,1727917
960761,1727819
959648,1727739
1003968,1727639
1023956,1727391
996707,1727370
1023037,1727354
1026312,1727321
1019921,1727310
1069450,1727145
1019373,1727128
1053237,1727026
1009306,1726931
1036643,1726850
999296,1726836
1070349,1726834
1000782,1726814
1009393,1726696
959467,1726510
1037929,1726460
1073985,1726279
970822,1726104
921190,1725861
1035426,1725839
896918,1725809
1033684,1725765
1074824,1725582
1030796,1725576
952266,1725573
1064026,1725489
1035827,1725456
940113,1725440
1051064,1724996
1003192,1724945
1077635,1724914
1025714,1724859
932006,1724812
993550,1724752
1003565,1724714
938000,1724491
1081903,1724467
876423,1724426
947147,1724330
1000831,1724291
1088485,1724239
1060500,1724186
966483,1723922
1006387,1723886
1009909,1723774
1082350,1723682
948312,1723413
1056395,1723370
1056343,1723142
1072111,1723086
1035671,1722956
1015401,1722868
1084375,1722794
1087925,1722590
1058758,1722144
1049433,1722060
1068455,1721982
1046870,1721821
895184,1721702
993149,1721650
972361,1721598
937537,1721507
1057646,1721400
1061706,1721060
966399,1720950
875646,1720880
1010116,1720878
1065947,1720803
953173,1720724
1030345,1720651
1055580,1720538
999666,1720424
1085719,1720380
1040599,1720352
1043356,1720167
1016597,1720155
1014161,1720125
1054145,1720111
1043248,1720097
985722,1720051
1022698,1719930
888806,1719895
1057421,1719768
978891,1719668
1074116,1719583
1040709,1719479
1064345,1719447
1043654,1719404
1026066,1719382
1043962,1719021
1052665,1719003
1045756,1718998
1050841,1718939
919088,1718617
1063193,1718582
1000004,1718549
1083538,1718488
1045853,1718456
1019667,1718135
994675,1718105
961940,1717950
1082951,1717760
1021955,1717664
1013081,1717551
996297,1717503
1079526,1717368
898541,1717206
892290,1717180
1037295,1716926
925959,1716916
1073873,1716913
934382,1716904
995226,1716752
973458,1716722
904869,1716676
915049,1716656
1020173,1716576
1047208,1716302
966185,1716218
1068170,1716073
862529,1715970
1035778,1715867
1036185,1715748
995286,1715650
1032058,1715607
1032505,1715382
1022399,1715259
1074632,1715230
1072167,1715159
892963,1715153
1065887,1715149
1050847,1715118
921022,1715104
987323,1715030
953477,1714834
1063682,1714812
977325,1714762
912854,1714761
1062988,1714647
989240,1714646
1063054,1714282
996198,1713924
1004429,1713802
990010,1713681
1029815,1713614
1023705,1713548
958498,1713518
1064324,1713298
1019687,1713242
880748,1713165
918087,1713107
1047587,1713101
874356,1713081
1005953,1712937
1046337,1712859
1043967,1712771
973648,1712616
1059298,1712537
932148,1712526
897609,1712506
933346,1712419
985578,1712309
966367,1712259
925094,1712198
1070019,1712037
1014632,1711998
901884,1711974
1073249,1711458
991793,1711449
1014776,1711433
931681,1711339
948883,1711228
1031798,1711125
892797,1711027
926402,1710903
1067413,1710887
1001257,1710664
992589,1710522
898739,1710460
858745,1710375
898125,1710365
1058970,1710343
1059974,1710293
894210,1710224
1045233,1710179
1006755,1710120
898644,1710076
996333,1709931
1056246,1709866
1058699,1709826
963077,1709770
866812,1709697
871656,1709657
909864,1709470
911664,1709394
1039411,1709373
1077011,1709341
1063833,1709327
1069361,1709156
1023621,1709109
965671,1709076
957566,1708994
1064546,1708990
1060057,1708950
893284,1708913
910818,1708717
1059836,1708715
1058738,1708701
990561,1708700
937056,1708681
1064605,1708323
1068268,1708319
1024746,1708233
997931,1708178
1006956,1708142
939583,1707801
912634,1707727
1064573,1707722
1082140,1707664
1018975,1707656
894949,1707539
1041474,1707520
907453,1707515
1026283,1707426
1012424,1707374
1010229,1707232
868419,1706893
1022625,1706763
1015416,1706683
893122,1706674
1061512,1706644
834790,1706607
946438,1706398
921476,1706238
995089,1706229
969450,1706218
1072235,1706107
947151,1706009
925517,1705949
1019671,1705948
908305,1705902
889166,1705860
858664,1705797
909606,1705686
1065448,1705554
916281,1705505
1055157,1705389
911150,1705253
1006493,1705223
911681,1705165
1053387,1705097
921204,1704953
1059762,1704876
1000963,1704860
1056369,1704602
1020516,1704596
950707,1704594
934438,1704519
1051328,1704455
1061872,1704315
1051063,1704211
898177,1703989
1029219,1703864
922226,1703755
919157,1703619
1041390,1703439
1021173,1703218
1042810,1703191
906586,1702959
960885,1702884
982880,1702770
893671,1702572
994224,1702555
1013059,1702471
939807,1702392
1059316,1702359
1026517,1702321
940176,1702288
882601,1702236
940266,1702190
1038163,1702143
895104,1702120
980735,1702080
989267,1701774
1050587,1701752
1071206,1701659
1039976,1701643
1053169,1701629
947943,1701508
986650,1701494
865443,1701440
1075369,1701360
904861,1701105
1070403,1700977
942997,1700972
1037669,1700940
1030470,1700910
1022254,1700889
1005068,1700823
991875,1700776
988033,1700766
1036156,1700601
1067496,1700492
1055377,1700449
1046900,1700418
879349,1700337
1026992,1700119
918812,1700112
928929,1700056
984399,1700011
958166,1699968
933388,1699899
1065048,1699840
991030,1699668
952845,1699377
1032445,1699207
1020694,1699155
953514,1699041
1015815,1699031
1060943,1699009
1048329,1698951
974707,1698891
906715,1698735
925655,1698476
972916,1698427
1043814,1698098
1053246,1698012
1008809,1697836
982329,1697802
1041490,1697659
925494,1697591
1037717,1697569
922765,1697563
1033950,1697557
996549,1697521
1050873,1697451
1049980,1697276
1069031,1697214
883298,1697198
1044085,1697174
1074370,1697139
1008349,1697113
1058349,1697068
887002,1696880
1037561,1696830
984043,1696830
916218,1696820
1014665,1696799
1062865,1696782
1004067,1696728
1038131,1696631
908285,1696604
1014944,1696596
932779,1696358
1064598,1696222
874192,1696215
999639,1696062
882871,1696032
1051684,1695923
1060059,1695911
884290,1695885
990069,1695869
1061620,1695849
1058694,1695813
912926,1695552
1005290,1695434
925541,1695429
994244,1695425
1014747,1695380
961287,1695340
870588,1695243
1069102,1695160
1046788,1694941
1045681,1694522
983178,1694437
1002723,1694372
1028597,1694366
983474,1694364
894082,1694280
1033777,1694034
1024767,1694028
1055688,1693769
926827,1693629
995700,1693601
1031598,1693583
985078,1693569
972756,1693465
1055515,1693313
1010968,1693290
1043138,1693250
932331,1693237
1061080,1693224
1004824,1693220
1055384,1693147
927231,1693141
892551,1693061
956268,1692989
1062739,1692890
881991,1692884
1047878,1692828
1047657,1692769
877873,1692631
880209,1692404
1013014,1692400
1040002,1692385
926053,1692369
1031237,1692334
1028817,1692296
941751,1692165
991691,1691987
1063269,1691887
1076847,1691712
1033841,1691558
930494,1691354
1050992,1691270
1058756,1691269
1040297,1691131
1062276,1691095
881438,1691062
977879,1690962
1037134,1690887
1019019,1690788
1045767,1690738
1025242,1690434
884539,1690378
856253,1690353
991111,1690344
919869,1690330
1057968,1690224
1034556,1690170
996782,1690103
1058244,1690039
1018966,1689961
1030738,1689892
1008704,1689880
933337,1689779
876445,1689738
1052067,1689670
1052476,1689657
1007930,1689544
968530,1689518
1038006,1689344
1049394,1689231
1047904,1689207
952859,1689164
994671,1689163
945821,1689152
873112,1689040
935951,1688946
933971,1688939
1030451,1688910
1044587,1688805
1047624,1688731
1042714,1688680
1050697,1688658
980489,1688515
918652,1688403
893970,1688365
912435,1688341
969474,1688305
1040208,1688248
1034930,1688189
918971,1688149
1044582,1688044
920270,1687950
889343,1687703
881603,1687618
1019140,1687590
1057697,1687561
971804,1687500
1059741,1687475
1010765,1687457
1053676,1687457
989291,1687270
878697,1687112
1012720,1687093
1011430,1687081
898549,1687007
1023215,1686976
1022766,1686749
899732,1686651
926781,1686630
936475,1686611
1009399,1686529
1006376,1686413
913012,1686395
976022,1686383
992146,1686366
933471,1686215
1006682,1686190
884662,1685982
922297,1685977
1034680,1685953
1049798,1685891
1039462,1685714
910018,1685713
1039778,1685664
889769,1685549
1054294,1685543
1006033,1685388
912339,1685387
947611,1685331
923401,1685294
996766,1685223
1002206,1685208
891580,1685170
1067338,1685013
873693,1684933
1025351,1684829
930172,1684651
1033037,1684643
886599,1684576
1032855,1684559
921741,1684382
1054844,1684312
902888,1684189
963575,1684079
950944,1683893
986388,1683829
1003064,1683699
933666,1683666
983231,1683505
1044192,1683331
1018763,1683201
1049585,1683180
1012046,1683100
865500,1683096
1044478,1682926
1039162,1682925
972352,1682911
917123,1682849
1048696,1682761
1036100,1682698
928476,1682377
1050001,1682361
936301,1682216
1075694,1682207
1036205,1682085
887017,1682072
890736,1682053
1041145,1681854
870996,1681438
880013,1681304
890058,1681271
913171,1681213
1001595,1681087
1028258,1680879
977200,1680830
987008,1680760
968000,1680673
1026257,1680192
882599,1680184
997460,1680116
1055418,1679780
994412,1679758
861007,1679744
1044868,1679702
1059027,1679687
954947,1679673
901406,1679633
1057373,1679617
1031966,1679584
1038608,1679492
1011001,1679481
882592,1679414
1005055,1679406
1025937,1679334
1042442,1679310
928771,1679140
1025296,1679123
1048978,1678866
1023379,1678812
1030255,1678494
881225,1678460
1042750,1678444
960903,1678369
960396,1678348
959757,1678283
1012230,1678270
1036398,1678225
1018534,1678039
860410,1677979
1036702,1677968
999878,1677917
913448,1677905
876768,1677891
1009046,1677857
1034149,1677753
1026441,1677687
905477,1677559
968906,1677556
1052157,1677538
872176,1677538
